 frequency       db(v(Vout))     cph(v(Vout))*360/2/pi
 1.00000000e+00 -3.10449385e-03 -4.16000035e-06 
 1.12201845e+00 -3.10449385e-03 -4.66759717e-06 
 1.25892541e+00 -3.10449385e-03 -5.23713016e-06 
 1.41253754e+00 -3.10449385e-03 -5.87615668e-06 
 1.58489319e+00 -3.10449385e-03 -6.59315624e-06 
 1.77827941e+00 -3.10449385e-03 -7.39764297e-06 
 1.99526231e+00 -3.10449385e-03 -8.30029194e-06 
 2.23872114e+00 -3.10449385e-03 -9.31308073e-06 
 2.51188643e+00 -3.10449385e-03 -1.04494484e-05 
 2.81838293e+00 -3.10449385e-03 -1.17244740e-05 
 3.16227766e+00 -3.10449385e-03 -1.31550762e-05 
 3.54813389e+00 -3.10449385e-03 -1.47602382e-05 
 3.98107171e+00 -3.10449385e-03 -1.65612597e-05 
 4.46683592e+00 -3.10449385e-03 -1.85820390e-05 
 5.01187234e+00 -3.10449385e-03 -2.08493907e-05 
 5.62341325e+00 -3.10449385e-03 -2.33934011e-05 
 6.30957344e+00 -3.10449385e-03 -2.62478278e-05 
 7.07945784e+00 -3.10449385e-03 -2.94505471e-05 
 7.94328235e+00 -3.10449385e-03 -3.30440574e-05 
 8.91250938e+00 -3.10449385e-03 -3.70760422e-05 
 1.00000000e+01 -3.10449385e-03 -4.16000035e-05 
 1.12201845e+01 -3.10449385e-03 -4.66759717e-05 
 1.25892541e+01 -3.10449385e-03 -5.23713016e-05 
 1.41253754e+01 -3.10449385e-03 -5.87615668e-05 
 1.58489319e+01 -3.10449385e-03 -6.59315624e-05 
 1.77827941e+01 -3.10449386e-03 -7.39764297e-05 
 1.99526231e+01 -3.10449386e-03 -8.30029194e-05 
 2.23872114e+01 -3.10449386e-03 -9.31308073e-05 
 2.51188643e+01 -3.10449386e-03 -1.04494484e-04 
 2.81838293e+01 -3.10449387e-03 -1.17244740e-04 
 3.16227766e+01 -3.10449387e-03 -1.31550762e-04 
 3.54813389e+01 -3.10449387e-03 -1.47602382e-04 
 3.98107171e+01 -3.10449388e-03 -1.65612597e-04 
 4.46683592e+01 -3.10449389e-03 -1.85820390e-04 
 5.01187234e+01 -3.10449390e-03 -2.08493907e-04 
 5.62341325e+01 -3.10449391e-03 -2.33934011e-04 
 6.30957344e+01 -3.10449393e-03 -2.62478278e-04 
 7.07945784e+01 -3.10449395e-03 -2.94505471e-04 
 7.94328235e+01 -3.10449398e-03 -3.30440574e-04 
 8.91250938e+01 -3.10449401e-03 -3.70760422e-04 
 1.00000000e+02 -3.10449406e-03 -4.16000035e-04 
 1.12201845e+02 -3.10449411e-03 -4.66759717e-04 
 1.25892541e+02 -3.10449418e-03 -5.23713016e-04 
 1.41253754e+02 -3.10449427e-03 -5.87615668e-04 
 1.58489319e+02 -3.10449437e-03 -6.59315624e-04 
 1.77827941e+02 -3.10449451e-03 -7.39764297e-04 
 1.99526231e+02 -3.10449468e-03 -8.30029193e-04 
 2.23872114e+02 -3.10449490e-03 -9.31308073e-04 
 2.51188643e+02 -3.10449517e-03 -1.04494484e-03 
 2.81838293e+02 -3.10449551e-03 -1.17244740e-03 
 3.16227766e+02 -3.10449594e-03 -1.31550762e-03 
 3.54813389e+02 -3.10449648e-03 -1.47602382e-03 
 3.98107171e+02 -3.10449717e-03 -1.65612597e-03 
 4.46683592e+02 -3.10449802e-03 -1.85820390e-03 
 5.01187234e+02 -3.10449911e-03 -2.08493907e-03 
 5.62341325e+02 -3.10450047e-03 -2.33934011e-03 
 6.30957344e+02 -3.10450218e-03 -2.62478277e-03 
 7.07945784e+02 -3.10450434e-03 -2.94505471e-03 
 7.94328235e+02 -3.10450705e-03 -3.30440573e-03 
 8.91250938e+02 -3.10451047e-03 -3.70760421e-03 
 1.00000000e+03 -3.10451478e-03 -4.16000035e-03 
 1.12201845e+03 -3.10452019e-03 -4.66759716e-03 
 1.25892541e+03 -3.10452702e-03 -5.23713015e-03 
 1.41253754e+03 -3.10453560e-03 -5.87615667e-03 
 1.58489319e+03 -3.10454641e-03 -6.59315622e-03 
 1.77827941e+03 -3.10456002e-03 -7.39764294e-03 
 1.99526231e+03 -3.10457716e-03 -8.30029188e-03 
 2.23872114e+03 -3.10459873e-03 -9.31308066e-03 
 2.51188643e+03 -3.10462589e-03 -1.04494483e-02 
 2.81838293e+03 -3.10466008e-03 -1.17244738e-02 
 3.16227766e+03 -3.10470312e-03 -1.31550760e-02 
 3.54813389e+03 -3.10475730e-03 -1.47602380e-02 
 3.98107171e+03 -3.10482552e-03 -1.65612593e-02 
 4.46683592e+03 -3.10491139e-03 -1.85820384e-02 
 5.01187234e+03 -3.10501951e-03 -2.08493899e-02 
 5.62341325e+03 -3.10515561e-03 -2.33934000e-02 
 6.30957344e+03 -3.10532696e-03 -2.62478262e-02 
 7.07945784e+03 -3.10554267e-03 -2.94505449e-02 
 7.94328235e+03 -3.10581424e-03 -3.30440542e-02 
 8.91250938e+03 -3.10615612e-03 -3.70760377e-02 
 1.00000000e+04 -3.10658653e-03 -4.15999972e-02 
 1.12201845e+04 -3.10712837e-03 -4.66759627e-02 
 1.25892541e+04 -3.10781053e-03 -5.23712889e-02 
 1.41253754e+04 -3.10866930e-03 -5.87615489e-02 
 1.58489319e+04 -3.10975043e-03 -6.59315370e-02 
 1.77827941e+04 -3.11111149e-03 -7.39763939e-02 
 1.99526231e+04 -3.11282496e-03 -8.30028687e-02 
 2.23872114e+04 -3.11498210e-03 -9.31307357e-02 
 2.51188643e+04 -3.11769776e-03 -1.04494383e-01 
 2.81838293e+04 -3.12111659e-03 -1.17244597e-01 
 3.16227766e+04 -3.12542062e-03 -1.31550560e-01 
 3.54813389e+04 -3.13083908e-03 -1.47602098e-01 
 3.98107171e+04 -3.13766051e-03 -1.65612195e-01 
 4.46683592e+04 -3.14624817e-03 -1.85819822e-01 
 5.01187234e+04 -3.15705934e-03 -2.08493104e-01 
 5.62341325e+04 -3.17066980e-03 -2.33932877e-01 
 6.30957344e+04 -3.18780426e-03 -2.62476675e-01 
 7.07945784e+04 -3.20937554e-03 -2.94503208e-01 
 7.94328235e+04 -3.23653156e-03 -3.30437377e-01 
 8.91250938e+04 -3.27071873e-03 -3.70755906e-01 
 1.00000000e+05 -3.31375781e-03 -4.15993656e-01 
 1.12201845e+05 -3.36793975e-03 -4.66750706e-01 
 1.25892541e+05 -3.43615015e-03 -5.23700288e-01 
 1.41253754e+05 -3.52202000e-03 -5.87597691e-01 
 1.58489319e+05 -3.63012168e-03 -6.59290230e-01 
 1.77827941e+05 -3.76621007e-03 -7.39728428e-01 
 1.99526231e+05 -3.93752862e-03 -8.29978528e-01 
 2.23872114e+05 -4.15319658e-03 -9.31236508e-01 
 2.51188643e+05 -4.42469141e-03 -1.04484376e+00 
 2.81838293e+05 -4.76645879e-03 -1.17230462e+00 
 3.16227766e+05 -5.19668034e-03 -1.31530595e+00 
 3.54813389e+05 -5.73823670e-03 -1.47573898e+00 
 3.98107171e+05 -6.41991984e-03 -1.65572366e+00 
 4.46683592e+05 -7.27795638e-03 -1.85763569e+00 
 5.01187234e+05 -8.35791982e-03 -2.08413657e+00 
 5.62341325e+05 -9.71713238e-03 -2.33820676e+00 
 6.30957344e+05 -1.14276760e-02 -2.62318225e+00 
 7.07945784e+05 -1.35801677e-02 -2.94279459e+00 
 7.94328235e+05 -1.62884801e-02 -3.30121442e+00 
 8.91250938e+05 -1.96956482e-02 -3.70309848e+00 
 1.00000000e+06 -2.39812286e-02 -4.15363959e+00 
 1.12201845e+06 -2.93704600e-02 -4.65861904e+00 
 1.25892541e+06 -3.61456228e-02 -5.22446008e+00 
 1.41253754e+06 -4.46600749e-02 -5.85828078e+00 
 1.58489319e+06 -5.53554985e-02 -6.56794317e+00 
 1.77827941e+06 -6.87829664e-02 -7.36209466e+00 
 1.99526231e+06 -8.56284441e-02 -8.25019556e+00 
 2.23872114e+06 -1.06743331e-01 -9.24252440e+00 
 2.51188643e+06 -1.33180534e-01 -1.03501497e+01 
 2.81838293e+06 -1.66236227e-01 -1.15848529e+01 
 3.16227766e+06 -2.07496983e-01 -1.29589842e+01 
 3.54813389e+06 -2.58891020e-01 -1.44852264e+01 
