 frequency       db(v(Vout))     cph(v(Vout))*360/2/pi
 1.00000000e+00 -4.54774037e-02 -1.25877211e-05 
 1.12201845e+00 -4.54774037e-02 -1.41236554e-05 
 1.25892541e+00 -4.54774037e-02 -1.58470020e-05 
 1.41253754e+00 -4.54774037e-02 -1.77806287e-05 
 1.58489319e+00 -4.54774037e-02 -1.99501936e-05 
 1.77827941e+00 -4.54774037e-02 -2.23844853e-05 
 1.99526231e+00 -4.54774037e-02 -2.51158056e-05 
 2.23872114e+00 -4.54774037e-02 -2.81803974e-05 
 2.51188643e+00 -4.54774037e-02 -3.16189260e-05 
 2.81838293e+00 -4.54774037e-02 -3.54770184e-05 
 3.16227766e+00 -4.54774037e-02 -3.98058694e-05 
 3.54813389e+00 -4.54774037e-02 -4.46629200e-05 
 3.98107171e+00 -4.54774037e-02 -5.01126205e-05 
 4.46683592e+00 -4.54774037e-02 -5.62272850e-05 
 5.01187234e+00 -4.54774037e-02 -6.30880514e-05 
 5.62341325e+00 -4.54774037e-02 -7.07859579e-05 
 6.30957344e+00 -4.54774037e-02 -7.94231511e-05 
 7.07945784e+00 -4.54774037e-02 -8.91142412e-05 
 7.94328235e+00 -4.54774037e-02 -9.99878232e-05 
 8.91250938e+00 -4.54774037e-02 -1.12188183e-04 
 1.00000000e+01 -4.54774037e-02 -1.25877211e-04 
 1.12201845e+01 -4.54774037e-02 -1.41236554e-04 
 1.25892541e+01 -4.54774037e-02 -1.58470020e-04 
 1.41253754e+01 -4.54774037e-02 -1.77806287e-04 
 1.58489319e+01 -4.54774037e-02 -1.99501936e-04 
 1.77827941e+01 -4.54774038e-02 -2.23844853e-04 
 1.99526231e+01 -4.54774038e-02 -2.51158056e-04 
 2.23872114e+01 -4.54774038e-02 -2.81803974e-04 
 2.51188643e+01 -4.54774038e-02 -3.16189260e-04 
 2.81838293e+01 -4.54774039e-02 -3.54770184e-04 
 3.16227766e+01 -4.54774039e-02 -3.98058694e-04 
 3.54813389e+01 -4.54774039e-02 -4.46629200e-04 
 3.98107171e+01 -4.54774040e-02 -5.01126205e-04 
 4.46683592e+01 -4.54774041e-02 -5.62272850e-04 
 5.01187234e+01 -4.54774042e-02 -6.30880514e-04 
 5.62341325e+01 -4.54774043e-02 -7.07859579e-04 
 6.30957344e+01 -4.54774045e-02 -7.94231511e-04 
 7.07945784e+01 -4.54774047e-02 -8.91142412e-04 
 7.94328235e+01 -4.54774050e-02 -9.99878232e-04 
 8.91250938e+01 -4.54774053e-02 -1.12188183e-03 
 1.00000000e+02 -4.54774057e-02 -1.25877211e-03 
 1.12201845e+02 -4.54774062e-02 -1.41236554e-03 
 1.25892541e+02 -4.54774069e-02 -1.58470020e-03 
 1.41253754e+02 -4.54774077e-02 -1.77806287e-03 
 1.58489319e+02 -4.54774088e-02 -1.99501935e-03 
 1.77827941e+02 -4.54774101e-02 -2.23844853e-03 
 1.99526231e+02 -4.54774118e-02 -2.51158056e-03 
 2.23872114e+02 -4.54774138e-02 -2.81803974e-03 
 2.51188643e+02 -4.54774165e-02 -3.16189259e-03 
 2.81838293e+02 -4.54774198e-02 -3.54770184e-03 
 3.16227766e+02 -4.54774239e-02 -3.98058693e-03 
 3.54813389e+02 -4.54774292e-02 -4.46629199e-03 
 3.98107171e+02 -4.54774358e-02 -5.01126204e-03 
 4.46683592e+02 -4.54774441e-02 -5.62272848e-03 
 5.01187234e+02 -4.54774546e-02 -6.30880512e-03 
 5.62341325e+02 -4.54774677e-02 -7.07859576e-03 
 6.30957344e+02 -4.54774843e-02 -7.94231506e-03 
 7.07945784e+02 -4.54775052e-02 -8.91142405e-03 
 7.94328235e+02 -4.54775315e-02 -9.99878222e-03 
 8.91250938e+02 -4.54775646e-02 -1.12188181e-02 
 1.00000000e+03 -4.54776062e-02 -1.25877210e-02 
 1.12201845e+03 -4.54776587e-02 -1.41236552e-02 
 1.25892541e+03 -4.54777247e-02 -1.58470016e-02 
 1.41253754e+03 -4.54778078e-02 -1.77806282e-02 
 1.58489319e+03 -4.54779125e-02 -1.99501928e-02 
 1.77827941e+03 -4.54780442e-02 -2.23844843e-02 
 1.99526231e+03 -4.54782101e-02 -2.51158041e-02 
 2.23872114e+03 -4.54784189e-02 -2.81803953e-02 
 2.51188643e+03 -4.54786817e-02 -3.16189229e-02 
 2.81838293e+03 -4.54790127e-02 -3.54770141e-02 
 3.16227766e+03 -4.54794293e-02 -3.98058633e-02 
 3.54813389e+03 -4.54799537e-02 -4.46629114e-02 
 3.98107171e+03 -4.54806140e-02 -5.01126084e-02 
 4.46683592e+03 -4.54814452e-02 -5.62272679e-02 
 5.01187234e+03 -4.54824917e-02 -6.30880272e-02 
 5.62341325e+03 -4.54838091e-02 -7.07859237e-02 
 6.30957344e+03 -4.54854676e-02 -7.94231028e-02 
 7.07945784e+03 -4.54875555e-02 -8.91141730e-02 
 7.94328235e+03 -4.54901841e-02 -9.99877268e-02 
 8.91250938e+03 -4.54934943e-02 -1.12188047e-01 
 1.00000000e+04 -4.54976603e-02 -1.25877019e-01 
 1.12201845e+04 -4.55029050e-02 -1.41236283e-01 
 1.25892541e+04 -4.55095076e-02 -1.58469636e-01 
 1.41253754e+04 -4.55178200e-02 -1.77805745e-01 
 1.58489319e+04 -4.55282844e-02 -1.99501170e-01 
 1.77827941e+04 -4.55414583e-02 -2.23843772e-01 
 1.99526231e+04 -4.55580433e-02 -2.51156528e-01 
 2.23872114e+04 -4.55789223e-02 -2.81801816e-01 
 2.51188643e+04 -4.56052076e-02 -3.16186211e-01 
 2.81838293e+04 -4.56382983e-02 -3.54765878e-01 
 3.16227766e+04 -4.56799568e-02 -3.98052611e-01 
 3.54813389e+04 -4.57324011e-02 -4.46620608e-01 
 3.98107171e+04 -4.57984237e-02 -5.01114069e-01 
 4.46683592e+04 -4.58815398e-02 -5.62255707e-01 
 5.01187234e+04 -4.59861745e-02 -6.30856300e-01 
 5.62341325e+04 -4.61178982e-02 -7.07825376e-01 
 6.30957344e+04 -4.62837229e-02 -7.94183199e-01 
 7.07945784e+04 -4.64924758e-02 -8.91074172e-01 
 7.94328235e+04 -4.67552645e-02 -9.99781843e-01 
 8.91250938e+04 -4.70860733e-02 -1.12174568e+00 
 1.00000000e+05 -4.75025022e-02 -1.25857981e+00 
 1.12201845e+05 -4.80266971e-02 -1.41209393e+00 
 1.25892541e+05 -4.86865303e-02 -1.58431658e+00 
 1.41253754e+05 -4.95170684e-02 -1.77752105e+00 
 1.58489319e+05 -5.05624278e-02 -1.99425412e+00 
 1.77827941e+05 -5.18780995e-02 -2.23736780e+00 
 1.99526231e+05 -5.35338663e-02 -2.51005434e+00 
 2.23872114e+05 -5.56174557e-02 -2.81588452e+00 
 2.51188643e+05 -5.82391194e-02 -3.15884936e+00 
 2.81838293e+05 -6.15373492e-02 -3.54340512e+00 
 3.16227766e+05 -6.56860168e-02 -3.97452114e+00 
 3.54813389e+05 -7.09032528e-02 -4.45773001e+00 
 3.98107171e+05 -7.74624640e-02 -4.99917888e+00 
 4.46683592e+05 -8.57059640e-02 -5.60568003e+00 
 5.01187234e+05 -9.60617174e-02 -6.28475802e+00 
