 v-sweep         v(V1)           v(V2)           v(Vout)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  6.90750543e-01 
 1.00000000e-03  1.00000000e-03  0.00000000e+00  6.90750911e-01 
 2.00000000e-03  2.00000000e-03  0.00000000e+00  6.90751102e-01 
 3.00000000e-03  3.00000000e-03  0.00000000e+00  6.90751197e-01 
 4.00000000e-03  4.00000000e-03  0.00000000e+00  6.90751241e-01 
 5.00000000e-03  5.00000000e-03  0.00000000e+00  6.90752019e-01 
 6.00000000e-03  6.00000000e-03  0.00000000e+00  6.90752098e-01 
 7.00000000e-03  7.00000000e-03  0.00000000e+00  6.90752376e-01 
 8.00000000e-03  8.00000000e-03  0.00000000e+00  6.90752293e-01 
 9.00000000e-03  9.00000000e-03  0.00000000e+00  6.90752415e-01 
 1.00000000e-02  1.00000000e-02  0.00000000e+00  6.90752738e-01 
 1.10000000e-02  1.10000000e-02  0.00000000e+00  6.90753012e-01 
 1.20000000e-02  1.20000000e-02  0.00000000e+00  6.90753173e-01 
 1.30000000e-02  1.30000000e-02  0.00000000e+00  6.90753104e-01 
 1.40000000e-02  1.40000000e-02  0.00000000e+00  6.90753506e-01 
 1.50000000e-02  1.50000000e-02  0.00000000e+00  6.90754276e-01 
 1.60000000e-02  1.60000000e-02  0.00000000e+00  6.90754629e-01 
 1.70000000e-02  1.70000000e-02  0.00000000e+00  6.90754927e-01 
 1.80000000e-02  1.80000000e-02  0.00000000e+00  6.90754785e-01 
 1.90000000e-02  1.90000000e-02  0.00000000e+00  6.90755199e-01 
 2.00000000e-02  2.00000000e-02  0.00000000e+00  6.90755186e-01 
 2.10000000e-02  2.10000000e-02  0.00000000e+00  6.90755493e-01 
 2.20000000e-02  2.20000000e-02  0.00000000e+00  6.90755599e-01 
 2.30000000e-02  2.30000000e-02  0.00000000e+00  6.90755962e-01 
 2.40000000e-02  2.40000000e-02  0.00000000e+00  6.90756237e-01 
 2.50000000e-02  2.50000000e-02  0.00000000e+00  6.90757061e-01 
 2.60000000e-02  2.60000000e-02  0.00000000e+00  6.90757232e-01 
 2.70000000e-02  2.70000000e-02  0.00000000e+00  6.90757677e-01 
 2.80000000e-02  2.80000000e-02  0.00000000e+00  6.90757900e-01 
 2.90000000e-02  2.90000000e-02  0.00000000e+00  6.90757868e-01 
 3.00000000e-02  3.00000000e-02  0.00000000e+00  6.90758375e-01 
 3.10000000e-02  3.10000000e-02  0.00000000e+00  6.90758385e-01 
