 yes             code            v(D1)           v(D2)           v(d3)           v(d4)           v(d5)           i(viin)         i(vidump)      
 1.00000000e+00  0.00000000e+00  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.31171431e-11  1.04494943e-05 
 1.00000000e+00  1.00000000e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104734e-07  2.13104802e-07  6.40172376e-07  9.85134735e-06 
 1.00000000e+00  2.00000000e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104802e-07  1.28152819e-06  9.22489909e-06 
 1.00000000e+00  3.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104802e-07  1.92655298e-06  8.58076615e-06 
 1.00000000e+00  4.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104802e-07  2.57867962e-06  7.92541093e-06 
 1.00000000e+00  5.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  3.23985873e-06  7.26283114e-06 
 1.00000000e+00  6.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  3.90824695e-06  6.59555470e-06 
 1.00000000e+00  7.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  4.58023199e-06  5.92524099e-06 
 1.00000000e+00  8.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  5.25309162e-06  5.25309186e-06 
 1.00000000e+00  9.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  5.92524085e-06  4.58023183e-06 
 1.00000000e+00  1.00000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  6.59555442e-06  3.90824703e-06 
 1.00000000e+00  1.10000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  7.26283125e-06  3.23985865e-06 
 1.00000000e+00  1.20000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  7.92541097e-06  2.57867953e-06 
 1.00000000e+00  1.30000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  8.58076613e-06  1.92655291e-06 
 1.00000000e+00  1.40000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  9.22489911e-06  1.28152820e-06 
 1.00000000e+00  1.50000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  9.85134701e-06  6.40172196e-07 
 1.00000000e+00  1.60000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.04494946e-05  2.31611579e-11 
